Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
Vancouver;NP#49429;NP#1253;1;1;1.00;1.00;0.00;0.00;0.00;navigatore inglese 17571798  sbarcò in nuova zelanda  australia e hawaii  giungendo fino alle coste del canada
inclinazione;N#16088;N#633;2;2;1.00;1.00;0.00;0.00;0.00;posizione di un corpo quando forma un angolo rispetto a un piano di riferimento
direzione;N#2693;N#1892;1;1;1.00;1.00;0.66;-0.99;0.33;luogo verso il quale ci si dirige
TIR;N#50179;N#1879;2;2;0.91;0.99;0.41;-0.33;0.00;grande autotreno o autoarticolato abilitato e adibito al trasporto internazionale di merci
fasciame;N#5967;N#1346;1;1;0.14;0.96;0.82;-0.33;0.33;tavole in legno o lamiere metalliche che ricoprono l ossatura e formano la superficie esterna dello scafo
unire;V#33542;V#2641;1;1;0.86;0.96;0.76;-0.66;0.00;mettere insieme  fare che due o più cose diventino o appaiano una sola  avvicinandole o collegandole
cucire;V#35698;V#753;1;1;-0.10;0.93;0.70;0.00;0.33;
condizione;N#16105;N#2148;2;2;0.77;0.91;0.14;-0.66;0.66;modo di essere
cutter;N#21762;N#370;1;1;0.09;0.91;0.82;-0.33;0.33;piccolo veliero originario dell inghilterra
passerella;N#4260;N#1545;1;1;0.15;0.91;0.76;-0.33;0.33;tavola di legno o metallica utilizzata per collegare un natante ad una banchina o ad un secondo galleggiante
gomena;N#20133;N#1519;1;1;0.08;0.90;0.82;-0.33;0.33;grossa cima di tessile ritorto  utilizzata nelle navi per gli ormeggi 
baglio;N#24014;N#927;1;1;0.08;0.90;0.82;-0.33;0.33;trave che collega orizzontalmente le fiancate dell imbarcazione  per tutta la sua lunghezza e sostenendo il peso della coperta o ponte
istmo;N#8469;N#1604;1;1;0.87;0.87;0.00;0.00;0.00;striscia di terra che unisce due continenti o una penisola a un continente e separa due mari
stagno;AG#50728;AG#797;1;1;0.87;0.87;0.00;0.00;0.00;che è a perfetta tenuta d acqua o d altro liquido  ermetico
salvagente;N#21244;N#218;1;1;0.10;0.84;0.41;0.00;0.33;giubbotto contenente materiale galleggiante da indossare in navigazione
alaggio;N#31046;N#798;1;2;0.35;0.83;0.16;0.00;0.33;manovra di traino di un imbarcazione lungo fiumi  canali  bacini  ecc  mediante un cavo
barometro;N#30090;N#977;1;1;0.62;0.83;0.22;-0.33;0.33;strumento meccanico o elettronico per la misura della pressione atmosferica
fuso;N#11307;N#1388;1;1;0.00;0.82;0.82;-0.33;0.33;parte centrale e rettilinea dell ancora  alle cui estremità si trovano da una parte la cicala e dall altra le marre
marra;N#31285;N#669;1;1;0.00;0.82;0.82;-0.33;0.33;uno dei di solito due bracci curvi dell ancora 
